sequential test: size of graph: 5310; time: 9; ms
sequential test: size of graph: 5320; time: 9; ms
sequential test: size of graph: 5330; time: 9; ms
sequential test: size of graph: 5340; time: 8; ms
sequential test: size of graph: 5350; time: 9; ms
sequential test: size of graph: 5360; time: 9; ms
sequential test: size of graph: 5370; time: 9; ms
sequential test: size of graph: 5380; time: 9; ms
sequential test: size of graph: 5390; time: 9; ms
sequential test: size of graph: 5400; time: 8; ms
sequential test: size of graph: 5410; time: 9; ms
sequential test: size of graph: 5420; time: 9; ms
sequential test: size of graph: 5430; time: 9; ms
sequential test: size of graph: 5440; time: 8; ms
sequential test: size of graph: 5450; time: 9; ms
sequential test: size of graph: 5460; time: 9; ms
sequential test: size of graph: 5470; time: 9; ms
sequential test: size of graph: 5480; time: 9; ms
sequential test: size of graph: 5490; time: 9; ms
sequential test: size of graph: 5500; time: 9; ms
sequential test: size of graph: 5510; time: 9; ms
sequential test: size of graph: 5520; time: 9; ms
sequential test: size of graph: 5530; time: 9; ms
sequential test: size of graph: 5540; time: 9; ms
sequential test: size of graph: 5550; time: 9; ms
sequential test: size of graph: 5560; time: 10; ms
sequential test: size of graph: 5570; time: 9; ms
sequential test: size of graph: 5580; time: 9; ms
sequential test: size of graph: 5590; time: 9; ms
sequential test: size of graph: 5600; time: 10; ms
sequential test: size of graph: 5610; time: 9; ms
sequential test: size of graph: 5620; time: 9; ms
sequential test: size of graph: 5630; time: 10; ms
sequential test: size of graph: 5640; time: 9; ms
sequential test: size of graph: 5650; time: 9; ms
sequential test: size of graph: 5660; time: 10; ms
sequential test: size of graph: 5670; time: 9; ms
sequential test: size of graph: 5680; time: 10; ms
sequential test: size of graph: 5690; time: 10; ms
sequential test: size of graph: 5700; time: 9; ms
sequential test: size of graph: 5710; time: 10; ms
sequential test: size of graph: 5720; time: 10; ms
sequential test: size of graph: 5730; time: 10; ms
sequential test: size of graph: 5740; time: 9; ms
sequential test: size of graph: 5750; time: 9; ms
sequential test: size of graph: 5760; time: 10; ms
sequential test: size of graph: 5770; time: 10; ms
sequential test: size of graph: 5780; time: 10; ms
sequential test: size of graph: 5790; time: 9; ms
sequential test: size of graph: 5800; time: 11; ms
sequential test: size of graph: 5810; time: 9; ms
sequential test: size of graph: 5820; time: 10; ms
sequential test: size of graph: 5830; time: 10; ms
sequential test: size of graph: 5840; time: 10; ms
sequential test: size of graph: 5850; time: 11; ms
sequential test: size of graph: 5860; time: 10; ms
sequential test: size of graph: 5870; time: 10; ms
sequential test: size of graph: 5880; time: 10; ms
sequential test: size of graph: 5890; time: 11; ms
sequential test: size of graph: 5900; time: 10; ms
